gem_type,species,variety,carat,color,cut,clarity,shape,length,width,depth,origin,treatment,is_certified,certification_lab,heat_treatment,mining_location,quality_grade,rarity_score,market_type,price_lkr,price_usd,sale_date,seller_type,notes
Sapphire,Corundum,White Sapphire,4.67,White,Pear,VS,Pear,11.5,12.2,6.8,Sri Lanka,Natural,true,NGJA,No,Thambalagamuwa,AA,10,Local,49951,166.5,2024-11-06,Certified Dealer,"White white sapphire, VS clarity"
Sapphire,Corundum,Blue Sapphire,6.89,Royal Blue,Cushion,VS,Cushion,15.3,13.1,12.5,Sri Lanka,Unheated,true,NGJA,No,Ratnapura,AAA,9,Local,68900000,229666.67,2024-11-28,Collector,"Royal Blue blue sapphire, VS clarity"
Tourmaline,Tourmaline,Green Tourmaline,8.12,Green,Cushion,Eye-clean,Cushion,17.7,16.4,10.6,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AAAA,5,Local,36910,123.03,2023-11-18,Collector,"Green green tourmaline, Eye-clean clarity"
Tourmaline,Tourmaline,Green Tourmaline,3.25,Green,Pear,VVS,Pear,11.0,7.8,7.4,Sri Lanka,Natural,true,AIGS,No,Elahera,AAA,8,Export,2833,9.44,2024-02-29,Certified Dealer,"Green green tourmaline, VVS clarity"
Spinel,Spinel,Blue Spinel,5.54,Blue,Emerald,VS1,Emerald,12.0,10.4,8.4,Sri Lanka,Natural,true,NGJA,No,Ratnapura,AAA+,10,Collector,89892,299.64,2023-09-08,Certified Dealer,"Blue blue spinel, VS1 clarity"
Sapphire,Corundum,White Sapphire,1.11,White,Oval,SI,Oval,7.0,5.4,4.0,Sri Lanka,Natural,true,GIA,No,Thambalagamuwa,AA,8,Export,10965,36.55,2024-07-17,Dealer,"White white sapphire, SI clarity"
Sapphire,Corundum,Padparadscha,5.08,Orange-Pink,Pear,Eye-clean,Pear,11.7,13.0,9.5,Sri Lanka,Unheated,true,Lotus,No,Meetiyagoda,AAA,6,International,1254201,4180.67,2023-12-31,Certified Dealer,"Orange-Pink padparadscha, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,5.87,Royal Blue,Pear,VS,Pear,12.4,10.4,10.2,Sri Lanka,Unheated,false,NGJA,No,Elahera,AAAA,8,Export,58700000,195666.67,2023-06-21,Certified Dealer,"Royal Blue blue sapphire, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,7.21,Dark Blue,Pear,Eye-clean,Pear,14.0,13.9,10.4,Sri Lanka,Natural,true,AIGS,No,Thambalagamuwa,AAAA,10,International,3143392,10477.97,2024-11-22,Collector,"Dark Blue dark blue sapphire, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,7.92,Normal Blue,Oval,VVS,Oval,15.9,14.0,13.2,Sri Lanka,Heated,true,GIA,Yes,Balangoda,AA,10,Local,3127768,10425.89,2023-12-03,Certified Dealer,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,Blue Sapphire,6.59,Normal Blue,Cushion,VVS,Cushion,13.5,14.7,12.0,Sri Lanka,Natural,false,AIGS,No,Thambalagamuwa,AAA+,6,Local,3941796,13139.32,2024-02-25,Dealer,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,Padparadscha,9.58,Orange-Pink,Round,Eye-clean,Round,20.8,20.2,13.0,Sri Lanka,Unheated,false,AIGS,No,Balangoda,AAA+,7,Local,1265717,4219.06,2024-08-15,Certified Dealer,"Orange-Pink padparadscha, Eye-clean clarity"
Sapphire,Corundum,Yellow Sapphire,1.06,Yellow,Round,VVS,Round,6.4,5.6,4.4,Sri Lanka,Natural,true,NGJA,No,Balangoda,AAA,5,Export,55172,183.91,2023-09-07,High-End Dealer,"Yellow yellow sapphire, VVS clarity"
Sapphire,Corundum,White Sapphire,3.61,White,Pear,VVS,Pear,10.3,10.1,6.6,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAA,10,Export,37853,126.18,2023-03-21,Certified Dealer,"White white sapphire, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,5.36,Dark Blue,Cushion,VS,Cushion,12.1,13.2,10.9,Sri Lanka,Natural,false,NGJA,No,Elahera,AA,7,Export,3334074,11113.58,2024-08-13,Certified Dealer,"Dark Blue dark blue sapphire, VS clarity"
Ruby,Corundum,Ruby,3.28,Red,Round,SI,Round,11.5,9.8,6.3,Sri Lanka,Natural,false,NGJA,No,Elahera,AAAA,5,Collector,7168,23.89,2023-03-16,High-End Dealer,"Red ruby, SI clarity"
Sapphire,Corundum,Dark Blue Sapphire,6.95,Dark Blue,Cushion,VS1,Cushion,16.2,13.6,12.0,Sri Lanka,Natural,true,AIGS,No,Meetiyagoda,AAA+,6,Collector,3252025,10840.08,2024-01-28,Collector,"Dark Blue dark blue sapphire, VS1 clarity"
Sapphire,Corundum,Padparadscha,1.86,Orange-Pink,Round,SI,Round,7.2,6.0,5.5,Sri Lanka,Unheated,false,Lotus,No,Meetiyagoda,AA,4,Local,62879,209.6,2024-02-08,Certified Dealer,"Orange-Pink padparadscha, SI clarity"
Sapphire,Corundum,Yellow Sapphire,5.44,Yellow,Emerald,VVS,Emerald,13.3,12.1,9.7,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AAA,6,Export,1500000,5000.0,2024-08-23,Dealer,"Yellow yellow sapphire, VVS clarity"
Spinel,Spinel,Blue Spinel,2.57,Blue,Round,VVS,Round,8.6,6.8,5.6,Sri Lanka,Natural,false,GIA,No,Meetiyagoda,AAAA,10,Collector,10077,33.59,2024-08-05,Collector,"Blue blue spinel, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,3.2,Dark Blue,Oval,VVS,Oval,10.4,7.4,5.7,Sri Lanka,Natural,true,Lotus,No,Balangoda,AAA+,5,International,100339,334.46,2024-04-06,High-End Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Sapphire,Corundum,White Sapphire,4.93,White,Emerald,Eye-clean,Emerald,13.0,10.8,9.1,Sri Lanka,Natural,false,NGJA,No,Balangoda,AAAA,3,Local,53178,177.26,2024-07-24,Certified Dealer,"White white sapphire, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,8.31,Blue,Round,VS1,Round,18.9,15.1,11.2,Sri Lanka,Natural,true,Lotus,No,Elahera,AAAA,8,International,98986,329.95,2024-08-16,Collector,"Blue blue spinel, VS1 clarity"
Spinel,Spinel,Blue Spinel,5.4,Blue,Pear,SI,Pear,15.6,10.6,8.1,Sri Lanka,Natural,false,Lotus,No,Elahera,AAA,3,Export,78817,262.72,2023-09-06,Dealer,"Blue blue spinel, SI clarity"
Sapphire,Corundum,Blue Sapphire,7.39,Normal Blue,Pear,SI,Pear,15.4,15.0,11.8,Sri Lanka,Natural,false,GIA,No,Elahera,AA,10,Collector,3448462,11494.87,2023-11-23,High-End Dealer,"Normal Blue blue sapphire, SI clarity"
Tourmaline,Tourmaline,Green Tourmaline,9.14,Green,Cushion,VVS,Cushion,23.2,13.9,12.3,Sri Lanka,Natural,false,NGJA,No,Balangoda,AAA+,6,Export,38891,129.64,2024-11-10,Collector,"Green green tourmaline, VVS clarity"
Spinel,Spinel,Blue Spinel,8.42,Blue,Cushion,Eye-clean,Cushion,17.8,18.6,10.3,Sri Lanka,Natural,false,GIA,No,Balangoda,AAAA,10,Collector,86592,288.64,2023-02-23,Collector,"Blue blue spinel, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,2.46,Blue,Cushion,VVS,Cushion,9.9,8.4,6.6,Sri Lanka,Natural,false,AIGS,No,Balangoda,AAA+,10,Export,8941,29.8,2024-07-01,Dealer,"Blue blue spinel, VVS clarity"
Sapphire,Corundum,White Sapphire,7.07,White,Round,VVS,Round,18.4,13.0,10.5,Sri Lanka,Natural,false,NGJA,No,Ratnapura,AA,6,International,165648,552.16,2024-09-17,High-End Dealer,"White white sapphire, VVS clarity"
Ruby,Corundum,Ruby,5.51,Red,Emerald,VS1,Emerald,13.5,12.6,9.5,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAA+,8,Export,34114,113.71,2024-04-13,Certified Dealer,"Red ruby, VS1 clarity"
Spinel,Spinel,Blue Spinel,5.4,Blue,Oval,VS1,Oval,15.7,9.5,7.8,Sri Lanka,Natural,false,Lotus,No,Thambalagamuwa,AAA+,9,International,97811,326.04,2024-08-22,Collector,"Blue blue spinel, VS1 clarity"
Sapphire,Corundum,Yellow Sapphire,3.24,Yellow,Cushion,SI,Cushion,9.0,9.1,6.0,Sri Lanka,Natural,true,Lotus,No,Ratnapura,AAA+,7,Local,237018,790.06,2024-08-05,Certified Dealer,"Yellow yellow sapphire, SI clarity"
Sapphire,Corundum,Padparadscha,2.49,Orange-Pink,Emerald,SI,Emerald,8.0,6.8,6.3,Sri Lanka,Unheated,false,NGJA,No,Ratnapura,AAA+,9,International,87985,293.28,2024-06-25,High-End Dealer,"Orange-Pink padparadscha, SI clarity"
Sapphire,Corundum,Dark Blue Sapphire,3.25,Dark Blue,Round,VVS,Round,9.9,8.2,5.7,Sri Lanka,Natural,false,NGJA,No,Elahera,AA,9,International,91236,304.12,2023-08-05,Certified Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,8.8,Dark Blue,Pear,VVS,Pear,16.2,16.2,12.6,Sri Lanka,Natural,false,AIGS,No,Elahera,AAAA,6,Local,3961681,13205.6,2023-07-13,Collector,"Dark Blue dark blue sapphire, VVS clarity"
Sapphire,Corundum,Blue Sapphire,5.91,Normal Blue,Cushion,Eye-clean,Cushion,14.0,12.6,10.1,Sri Lanka,Natural,true,NGJA,No,Meetiyagoda,AAAA,8,International,3255201,10850.67,2024-06-07,Dealer,"Normal Blue blue sapphire, Eye-clean clarity"
Sapphire,Corundum,White Sapphire,1.94,White,Pear,VVS,Pear,8.4,6.7,5.7,Sri Lanka,Natural,true,AIGS,No,Ratnapura,AAA,7,International,21395,71.32,2024-09-21,Collector,"White white sapphire, VVS clarity"
